estacio,data,contaminant,unitats,latitud,longitud,valor,
Ciutadella,2022-01-01,NO2,xc2xb5gm3,41.386406,2.1873982,32.6250000000000000,
Ciutadella,2022-01-02,NO2,xc2xb5gm3,41.386406,2.1873982,23.7500000000000000,
Ciutadella,2022-01-03,NO2,xc2xb5gm3,41.386406,2.1873982,37.5454545454545455,
Ciutadella,2022-01-04,NO2,xc2xb5gm3,41.386406,2.1873982,52.5000000000000000,
Ciutadella,2022-01-05,NO2,xc2xb5gm3,41.386406,2.1873982,26.8333333333333333,
Ciutadella,2022-01-06,NO2,xc2xb5gm3,41.386406,2.1873982,16.8750000000000000,
Ciutadella,2022-01-07,NO2,xc2xb5gm3,41.386406,2.1873982,37.4166666666666667,
Ciutadella,2022-01-08,NO2,xc2xb5gm3,41.386406,2.1873982,20.0833333333333333,
Ciutadella,2022-01-09,NO2,xc2xb5gm3,41.386406,2.1873982,10.2916666666666667,
Ciutadella,2022-01-10,NO2,xc2xb5gm3,41.386406,2.1873982,32.0416666666666667,
Ciutadella,2022-01-11,NO2,xc2xb5gm3,41.386406,2.1873982,47.0416666666666667,
Ciutadella,2022-01-12,NO2,xc2xb5gm3,41.386406,2.1873982,26.8333333333333333,
Ciutadella,2022-01-13,NO2,xc2xb5gm3,41.386406,2.1873982,49.3333333333333333,
Ciutadella,2022-01-14,NO2,xc2xb5gm3,41.386406,2.1873982,48.0833333333333333,
Ciutadella,2022-01-15,NO2,xc2xb5gm3,41.386406,2.1873982,32.9583333333333333,
Ciutadella,2022-01-16,NO2,xc2xb5gm3,41.386406,2.1873982,46.7500000000000000,
Ciutadella,2022-01-17,NO2,xc2xb5gm3,41.386406,2.1873982,59.0416666666666667,
Ciutadella,2022-01-18,NO2,xc2xb5gm3,41.386406,2.1873982,48.6818181818181818,
Ciutadella,2022-01-19,NO2,xc2xb5gm3,41.386406,2.1873982,46.6250000000000000,
Ciutadella,2022-01-20,NO2,xc2xb5gm3,41.386406,2.1873982,50.2083333333333333,
Ciutadella,2022-01-21,NO2,xc2xb5gm3,41.386406,2.1873982,28.8750000000000000,
Ciutadella,2022-01-22,NO2,xc2xb5gm3,41.386406,2.1873982,32.5000000000000000,
Ciutadella,2022-01-23,NO2,xc2xb5gm3,41.386406,2.1873982,35.6666666666666667,
Ciutadella,2022-01-24,NO2,xc2xb5gm3,41.386406,2.1873982,53.2916666666666667,
Ciutadella,2022-01-25,NO2,xc2xb5gm3,41.386406,2.1873982,62.4583333333333333,
Ciutadella,2022-01-26,NO2,xc2xb5gm3,41.386406,2.1873982,66.5000000000000000,
Ciutadella,2022-01-27,NO2,xc2xb5gm3,41.386406,2.1873982,56.1666666666666667,
Ciutadella,2022-01-28,NO2,xc2xb5gm3,41.386406,2.1873982,72.5000000000000000,
Ciutadella,2022-01-29,NO2,xc2xb5gm3,41.386406,2.1873982,58.3750000000000000,
Ciutadella,2022-01-30,NO2,xc2xb5gm3,41.386406,2.1873982,46.8750000000000000,
Ciutadella,2022-01-31,NO2,xc2xb5gm3,41.386406,2.1873982,38.3333333333333333,
Ciutadella,2022-02-01,NO2,xc2xb5gm3,41.386406,2.1873982,50.0000000000000000,
Ciutadella,2022-02-02,NO2,xc2xb5gm3,41.386406,2.1873982,38.7083333333333333,
Ciutadella,2022-02-03,NO2,xc2xb5gm3,41.386406,2.1873982,53.7500000000000000,
Ciutadella,2022-02-04,NO2,xc2xb5gm3,41.386406,2.1873982,57.4583333333333333,
Ciutadella,2022-02-05,NO2,xc2xb5gm3,41.386406,2.1873982,35.3750000000000000,
Ciutadella,2022-02-06,NO2,xc2xb5gm3,41.386406,2.1873982,22.8333333333333333,
Ciutadella,2022-02-07,NO2,xc2xb5gm3,41.386406,2.1873982,38.1666666666666667,
Ciutadella,2022-02-08,NO2,xc2xb5gm3,41.386406,2.1873982,52.5000000000000000,
Ciutadella,2022-02-09,NO2,xc2xb5gm3,41.386406,2.1873982,38.0000000000000000,
Ciutadella,2022-02-10,NO2,xc2xb5gm3,41.386406,2.1873982,57.3750000000000000,
Ciutadella,2022-02-11,NO2,xc2xb5gm3,41.386406,2.1873982,71.1250000000000000,
Ciutadella,2022-02-12,NO2,xc2xb5gm3,41.386406,2.1873982,21.6666666666666667,
Ciutadella,2022-02-13,NO2,xc2xb5gm3,41.386406,2.1873982,31.3750000000000000,
Ciutadella,2022-02-14,NO2,xc2xb5gm3,41.386406,2.1873982,22.0416666666666667,
Ciutadella,2022-02-15,NO2,xc2xb5gm3,41.386406,2.1873982,18.7142857142857143,
Ciutadella,2022-02-16,NO2,xc2xb5gm3,41.386406,2.1873982,42.5833333333333333,
Ciutadella,2022-02-17,NO2,xc2xb5gm3,41.386406,2.1873982,41.7083333333333333,
Ciutadella,2022-02-18,NO2,xc2xb5gm3,41.386406,2.1873982,38.6666666666666667,
Ciutadella,2022-02-19,NO2,xc2xb5gm3,41.386406,2.1873982,21.2916666666666667,
